lon,lat,distance_km,x_santiago_km,relief_m,resolution
-80.0,-33.45891,0.0,-866.2236284564098,-3700.273400000001,01m
-79.97843665768194,-33.45891,2.0003851754195687,-864.2232432774014,-3729.0068862533653,01m
-79.95687331536388,-33.45891,4.0007703508391375,-862.2228580983931,-3756.780363342328,01m
-79.93530997304582,-33.45891,6.001155526258707,-860.2224729193846,-3763.977521832886,01m
-79.91374663072776,-33.45891,8.001540701678275,-858.2220877403763,-3743.610299191359,01m
-79.8921832884097,-33.45891,10.001925877099024,-856.2217025613678,-3731.4934172506805,01m
-79.87061994609165,-33.45891,12.002311052517413,-854.2213173823608,-3742.2248859838255,01m
-79.84905660377359,-33.45891,14.002696227936982,-852.2209322033523,-3745.5704169811265,01m
-79.82749326145553,-33.45891,16.00308140335655,-850.220547024344,-3754.1736272237304,01m
-79.80592991913747,-33.45891,18.00346657877612,-848.2201618453355,-3729.1663835579548,01m
-79.78436657681941,-33.45891,20.00385175419569,-846.2197766663272,-3733.4576708894856,01m
-79.76280323450135,-33.45891,22.00423692961644,-844.2193914873187,-3774.8821110512063,01m
-79.74123989218329,-33.45891,24.00462210503601,-842.2190063083103,-3781.461292991913,01m
-79.71967654986523,-33.45891,26.00500728045558,-840.2186211293019,-3775.423988409707,01m
-79.69811320754717,-33.45891,28.00539245587515,-838.2182359502935,-3746.746983018851,01m
-79.6765498652291,-33.45891,30.00577763129472,-836.217850771285,-3716.1592832884025,01m
-79.65498652291105,-33.45891,32.006162806715466,-834.2174655922768,-3705.244453099732,01m
-79.633423180593,-33.45891,34.00654798213385,-832.2170804132696,-3722.2048552560677,01m
-79.61185983827494,-33.45891,36.00693315755342,-830.2166952342612,-3757.4522153638795,01m
-79.59029649595688,-33.45891,38.007318332972986,-828.216310055253,-3790.3952816711535,01m
-79.56873315363882,-33.45891,40.00770350839255,-826.2159248762445,-3811.9405741239834,01m
-79.54716981132076,-33.45891,42.00808868381212,-824.2155396972362,-3815.2985490566043,01m
-79.5256064690027,-33.45891,44.008473859232865,-822.2151545182277,-3803.443920485177,01m
-79.50404312668464,-33.45891,46.00885903465243,-820.2147693392194,-3783.578553099735,01m
-79.48247978436657,-33.45891,48.009244210072,-818.2143841602109,-3769.0162202156334,01m
-79.46091644204851,-33.45891,50.009629385491564,-816.2139989812025,-3772.779653099734,01m
-79.43935309973045,-33.45891,52.01001456091113,-814.2136138021941,-3795.597161455527,01m
-79.4177897574124,-33.45891,54.0103997363307,-812.2132286231857,-3823.271000269558,01m
-79.39622641509433,-33.45891,56.01078491175144,-810.2128434441772,-3834.336366037731,01m
-79.37466307277629,-33.45891,58.01117008716983,-808.2124582651703,-3813.095172776273,01m
-79.35309973045823,-33.45891,60.0115552625894,-806.2120730861618,-3776.897319946117,01m
-79.33153638814017,-33.45891,62.01194043800896,-804.2116879071534,-3753.7129840970365,01m
-79.3099730458221,-33.45891,64.01232561342853,-802.211302728145,-3761.791408355791,01m
-79.28840970350404,-33.45891,66.0127107888481,-800.2109175491366,-3789.996882749316,01m
-79.26684636118598,-33.45891,68.01309596426884,-798.2105323701281,-3811.0079948787115,01m
-79.24528301886792,-33.45891,70.01348113968841,-796.2101471911199,-3799.706607547173,01m
-79.22371967654986,-33.45891,72.01386631510798,-794.2097620121116,-3758.668352560624,01m
-79.2021563342318,-33.45891,74.01425149052754,-792.2093768331031,-3701.5170630727566,01m
-79.18059299191374,-33.45891,76.01463666594711,-790.2089916540947,-3638.307754447429,01m
-79.15902964959568,-33.45891,78.01502184136785,-788.2086064750863,-3579.5469889487485,01m
-79.13746630727763,-33.45891,80.01540701678624,-786.2082212960793,-3533.509651212945,01m
-79.11590296495957,-33.45891,82.01579219220581,-784.2078361170708,-3506.249642048513,01m
-79.09433962264151,-33.45891,84.01617736762537,-782.2074509380625,-3491.575773584914,01m
-79.07277628032345,-33.45891,86.01656254304494,-780.207065759054,-3472.668973045836,01m
-79.05121293800539,-33.45891,88.01694771846451,-778.2066805800456,-3446.779692183291,01m
-79.02964959568733,-33.45891,90.01733289388525,-776.2062954010372,-3391.5078574124227,01m
-79.00808625336927,-33.45891,92.01771806930482,-774.2059102220288,-3295.001600539056,01m
-78.98652291105121,-33.45891,94.01810324472439,-772.2055250430203,-3177.831805390814,01m
-78.96495956873315,-33.45891,96.01848842014395,-770.205139864012,-3000.438042318052,01m
-78.94339622641509,-33.45891,98.01887359556352,-768.2047546850035,-2713.526220754484,01m
-78.92183288409703,-33.45891,100.01925877098309,-766.2043695059953,-2116.3433679242216,01m
-78.90026954177898,-33.45891,102.01964394640265,-764.2039843269881,-1969.229106469013,01m
-78.87870619946092,-33.45891,104.02002912182222,-762.2035991479797,-1864.8502622641454,01m
-78.85714285714286,-33.45891,106.02041429724179,-760.2032139689713,-1662.526928571453,01m
-78.8355795148248,-33.45891,108.02079947266135,-758.202828789963,-1545.4380768194255,01m
-78.81401617250674,-33.45891,110.02118464808092,-756.2024436109547,-1553.0747665767697,01m
-78.79245283018868,-33.45891,112.02156982350049,-754.2020584319462,-1702.026400000027,01m
-78.77088948787062,-33.45891,114.02195499892123,-752.2016732529378,-2030.189245283004,01m
-78.74932614555256,-33.45891,116.0223401743408,-750.2012880739294,-2700.119491913647,01m
-78.7277628032345,-33.45891,118.02272534976036,-748.200902894921,-3166.6400708895762,01m
-78.70619946091644,-33.45891,120.02311052517993,-746.2005177159125,-3312.393793261467,01m
-78.68463611859838,-33.45891,122.0234957005995,-744.2001325369042,-3334.0152509434038,01m
-78.66307277628033,-33.45891,124.02388087601788,-742.1997473578971,-3313.232309973052,01m
-78.64150943396227,-33.45891,126.02426605143863,-740.1993621788888,-3275.0496320754874,01m
-78.61994609164421,-33.45891,128.0246512268582,-738.1989769998803,-3254.61164177898,01m
