index,value
0,0.0874451763928
1,0.149768111184
2,0.212091045976
3,0.274413980767
4,0.336736915559
5,0.39905985035
6,0.461382785141
7,0.523705719933
8,0.586028654724
9,0.648351589516
10,0.710674524307
