custom_site_id,lon,lat,value
66j81k92,-70.95896,-33.72511,0.4244830012321472
66j81kt0,-70.95357,-33.72519,0.4356519877910614
66j81s90,-70.94817,-33.72528,0.4322929978370666
66j81smp,-70.94278,-33.72536,0.4367530047893524
66j81u2z,-70.93738,-33.72545,0.433584988117218
66j81uky,-70.93199,-33.72553,0.4384259879589081
66j84h2y,-70.9266,-33.72562,0.439765989780426
66j84hkv,-70.9212,-33.7257,0.4235469996929168
66j84k2t,-70.91581,-33.72578,0.4271959960460663
66j84kks,-70.91041,-33.72587,0.4295459985733032
66j84s2s,-70.90502,-33.72595,0.4311619997024536
66j84sk7,-70.89963,-33.72603,0.4334290027618408
66j84u27,-70.89423,-33.72612,0.4241519868373871
66j84uk6,-70.88884,-33.7262,0.421068012714386
66j85h26,-70.88344,-33.72628,0.4224329888820648
66j85hk1,-70.87805,-33.72636,0.4232130050659179
66j85k21,-70.87266,-33.72644,0.4325909912586212
66j85kk0,-70.86726,-33.72653,0.4276640117168426
66j85krb,-70.86187,-33.72661,0.4220409989356994
66j85s5z,-70.85647,-33.72669,0.4096049964427948
66j85spz,-70.85108,-33.72677,0.4244430065155029
66j85u5y,-70.84568,-33.72685,0.4171369969844818
66j85upw,-70.84029,-33.72693,0.4010260105133056
66j8hh5t,-70.8349,-33.72701,0.3418909907341003
66j8hhpt,-70.8295,-33.72709,0.3411189913749695
66j8hk5k,-70.82411,-33.72717,0.339944988489151
66j8hkpk,-70.81871,-33.72725,0.3355929851531982
66j8hs5k,-70.81332,-33.72733,0.3323709964752197
66j8hsp5,-70.80792,-33.72741,0.3353820145130157
66j8hu55,-70.80253,-33.72749,0.3721239864826202
66j8hup4,-70.79714,-33.72757,0.3945800065994262
66j8jh54,-70.79174,-33.72765,0.3966499865055084
66j8jhnc,-70.78635,-33.72772,0.4019370079040527
66j8jk4c,-70.78095,-33.7278,0.410997986793518
66j8jknb,-70.77556,-33.72788,0.4129559993743896
66j8js48,-70.77016,-33.72796,0.3922599852085113
66j8jeyx,-70.76477,-33.72803,0.3846740126609802
66j8jgfx,-70.75937,-33.72811,0.4018599987030029
66j8jgyx,-70.75398,-33.72819,0.4035179913043976
66j8n5fq,-70.74858,-33.72826,0.3761970102787018
66j8n5yq,-70.74319,-33.72834,0.3959969878196716
66j8n7fm,-70.73779,-33.72842,0.3723979890346527
66j8n7yj,-70.7324,-33.72849,0.3764339983463287
66j8nefh,-70.72701,-33.72857,0.3810409903526306
66j8neyh,-70.72161,-33.72864,0.3912160098552704
66j8ngf5,-70.71622,-33.72872,0.3766349852085113
66j8ngvg,-70.71082,-33.72879,0.3740589916706085
66j8p5cg,-70.70543,-33.72887,0.3785620033740997
66j8p5vf,-70.70003,-33.72894,0.3795790076255798
66j8p7cd,-70.69464,-33.72902,0.368831992149353
66j8p7v9,-70.68924,-33.72909,0.3761129975318908
66j8pec9,-70.68385,-33.72916,0.3747490048408508
66j8pev8,-70.67845,-33.72924,0.3753960132598877
66j8pgc2,-70.67306,-33.72931,0.3510940074920654
66j8pgv2,-70.66766,-33.72938,0.304843008518219
66jb059r,-70.66227,-33.72946,0.3043470084667206
66jb05tp,-70.65687,-33.72953,0.3221679925918579
66jb079n,-70.65148,-33.7296,0.3218840062618255
66jb07tn,-70.64608,-33.72967,0.304720014333725
66jb0e9j,-70.64069,-33.72975,0.2988609969615936
66jb0esv,-70.63529,-33.72982,0.2964529991149902
66jb0g8v,-70.6299,-33.72989,0.3056789934635162
66jb0gsu,-70.6245,-33.72996,0.306659996509552
66jb158s,-70.61911,-33.73003,0.3005180060863495
66jb15se,-70.61371,-33.7301,0.3021109998226166
66jb178e,-70.60832,-33.73017,0.2988049983978271
66jb17se,-70.60292,-33.73024,0.2962729930877685
66jb1e86,-70.59752,-33.73031,0.2872320115566253
66jb1es6,-70.59213,-33.73038,0.2975060045719147
66jb1g83,-70.58674,-33.73045,0.2980270087718963
66jb1gs1,-70.58134,-33.73052,0.2936680018901825
66jb4581,-70.57594,-33.73059,0.2891840040683746
66jb45s0,-70.57055,-33.73066,0.2875880002975464
66jb4780,-70.56515,-33.73073,0.2802659869194031
66jb477z,-70.55976,-33.7308,0.2957670092582702
66jb47rz,-70.55436,-33.73086,0.2887870073318481
66jb4e7z,-70.54897,-33.73093,0.2898119986057281
66jb4erw,-70.54357,-33.731,0.2873240113258362
66jb4g7w,-70.53818,-33.73106,0.2804439961910248
