custom_site_id,lon,lat,value
66j81k92,-70.95896,-33.72511,0.1243624985218048
66j81kt0,-70.95357,-33.72519,0.1232995018362999
66j81s90,-70.94817,-33.72528,0.1262125000357628
66j81smp,-70.94278,-33.72536,0.131581500172615
66j81u2z,-70.93738,-33.72545,0.1305864974856376
66j81uky,-70.93199,-33.72553,0.13264000415802
66j84h2y,-70.9266,-33.72562,0.1355829983949661
66j84hkv,-70.9212,-33.7257,0.1351395025849342
66j84k2t,-70.91581,-33.72578,0.1391074955463409
66j84kks,-70.91041,-33.72587,0.1423454955220222
66j84s2s,-70.90502,-33.72595,0.1439020037651062
66j84sk7,-70.89963,-33.72603,0.1438184976577758
66j84u27,-70.89423,-33.72612,0.146537996828556
66j84uk6,-70.88884,-33.7262,0.1473385021090507
66j85h26,-70.88344,-33.72628,0.1512194946408271
66j85hk1,-70.87805,-33.72636,0.152099497616291
66j85k21,-70.87266,-33.72644,0.1556150019168853
66j85kk0,-70.86726,-33.72653,0.1570129990577697
66j85krb,-70.86187,-33.72661,0.1536250039935112
66j85s5z,-70.85647,-33.72669,0.1593429967761039
66j85spz,-70.85108,-33.72677,0.16457249969244
66j85u5y,-70.84568,-33.72685,0.1623934954404831
66j85upw,-70.84029,-33.72693,0.1585894972085952
66j8hh5t,-70.8349,-33.72701,0.1099844984710216
66j8hhpt,-70.8295,-33.72709,0.1114355027675628
66j8hk5k,-70.82411,-33.72717,0.1144319996237754
66j8hkpk,-70.81871,-33.72725,0.1170964986085891
66j8hs5k,-70.81332,-33.72733,0.1170814968645572
66j8hsp5,-70.80792,-33.72741,0.11778150126338
66j8hu55,-70.80253,-33.72749,0.1580680012702942
66j8hup4,-70.79714,-33.72757,0.1850035041570663
66j8jh54,-70.79174,-33.72765,0.1908365041017532
66j8jhnc,-70.78635,-33.72772,0.1935124993324279
66j8jk4c,-70.78095,-33.7278,0.2000779956579208
66j8jknb,-70.77556,-33.72788,0.2050014957785606
66j8js48,-70.77016,-33.72796,0.2065934985876083
66j8jeyx,-70.76477,-33.72803,0.2090319991111755
66j8jgfx,-70.75937,-33.72811,0.216497503221035
66j8jgyx,-70.75398,-33.72819,0.2132515013217926
66j8n5fq,-70.74858,-33.72826,0.2136064991354942
66j8n5yq,-70.74319,-33.72834,0.2262549996376037
66j8n7fm,-70.73779,-33.72842,0.2229029983282089
66j8n7yj,-70.7324,-33.72849,0.2316344976425171
66j8nefh,-70.72701,-33.72857,0.2333505004644394
66j8neyh,-70.72161,-33.72864,0.2359989956021309
66j8ngf5,-70.71622,-33.72872,0.2455419972538948
66j8ngvg,-70.71082,-33.72879,0.2472885027527809
66j8p5cg,-70.70543,-33.72887,0.2540049999952316
66j8p5vf,-70.70003,-33.72894,0.2568674981594085
66j8p7cd,-70.69464,-33.72902,0.258554995059967
66j8p7v9,-70.68924,-33.72909,0.2711924910545349
66j8pec9,-70.68385,-33.72916,0.2779069989919662
66j8pev8,-70.67845,-33.72924,0.2816914916038513
66j8pgc2,-70.67306,-33.72931,0.2491915002465248
66j8pgv2,-70.66766,-33.72938,0.2031579986214637
66jb059r,-70.66227,-33.72946,0.202904999256134
