custom_site_id,lon,lat,value
66j8rg4h,-70.67227,-33.68874,-0.11775750666856769
66j8rgju,-70.66688,-33.68881,-0.1180994883179664
66jb251g,-70.66148,-33.68889,-0.11431401222944262
66jb25jg,-70.65609,-33.68896,-0.11317049711942678
66jb271e,-70.6507,-33.68903,-0.0932950004935264
66jb27jd,-70.64531,-33.6891,-0.09617400914430618
66jb2e1d,-70.63992,-33.68918,-0.08703300356864932
66jb2ej9,-70.63452,-33.68925,-0.0800949856638909
66jb2g13,-70.62913,-33.68932,-0.04285497963428492
66jb2gj3,-70.62374,-33.68939,-0.004682496190071106
66jb3512,-70.61835,-33.68946,-0.0013304948806762695
66jb35j0,-70.61295,-33.68953,0.004370510578155518
66jb36cp,-70.60756,-33.6896,0.026304006576538086
66jb36vp,-70.60217,-33.68967,0.040759503841400146
66jb3dcp,-70.59677,-33.68974,0.05439800024032598
66jb3duy,-70.59138,-33.68981,0.0734075009822846
66jb3fby,-70.58599,-33.68988,0.07683300971984869
66jb3fuv,-70.5806,-33.68995,0.0944335013628006
66jb64bt,-70.5752,-33.69002,0.10033348202705378
66jb64ut,-70.56981,-33.69009,0.12694099545478826
66jb66bs,-70.56442,-33.69015,0.12495851516723633
66jb66uk,-70.55903,-33.69022,0.1517415046691895
66jb6db7,-70.55363,-33.69029,0.18091851472854614
66jb6du7,-70.54824,-33.69036,0.18710148334503174
66jb6fb7,-70.54285,-33.69043,0.20831549167633057
66jb6fu4,-70.53745,-33.69049,0.21594199538230896
66jb74b4,-70.53206,-33.69056,0.2309730052947998
66jb74u1,-70.52667,-33.69063,0.23138448596000677
66jb74zc,-70.52128,-33.69069,0.16422548890113825
66jb76gc,-70.51588,-33.69076,0.16004148125648499
66jb76zb,-70.51049,-33.69083,0.1633010059595108
66jb7dgb,-70.5051,-33.69089,0.1829800009727478
66jb7dxx,-70.4997,-33.69096,0.18034298717975622
66jb7fex,-70.49431,-33.69102,0.18993249535560608
66j83kdp,-70.95794,-33.68003,-0.3079939894378186
66j83ktz,-70.95254,-33.68012,-0.30281900614500046
66j83s9y,-70.94715,-33.68021,-0.3098834902048111
66j83sty,-70.94176,-33.68029,-0.30653101205825806
66j83u9t,-70.93637,-33.68038,-0.3078845143318177
66j83utt,-70.93098,-33.68046,-0.2983830124139786
66j86h9s,-70.92559,-33.68054,-0.2989855110645294
66j86htk,-70.9202,-33.68063,-0.28911349177360535
66j86k97,-70.91481,-33.68071,-0.29301849752664566
66j86kt7,-70.90942,-33.6808,-0.2919554933905602
66j86s96,-70.90402,-33.68088,-0.29685051739215856
66j86st4,-70.89863,-33.68096,-0.27402248978614807
66j86u91,-70.89324,-33.68104,-0.291720986366272
66j86ut1,-70.88785,-33.68113,-0.2765355110168457
66j87h8b,-70.88246,-33.68121,-0.290705993771553
66j87hsb,-70.87707,-33.68129,-0.274452991783619
66j87k2z,-70.87168,-33.68137,-0.2664775103330612
66j87kkx,-70.86629,-33.68145,-0.2676919996738434
66j87s2w,-70.8609,-33.68153,-0.2584400102496147
66j87skw,-70.8555,-33.68162,-0.2679535001516342
66j87u2t,-70.85011,-33.6817,-0.2409630082547664
66j87ukm,-70.84472,-33.68178,-0.2319665141403675
66j8kh2k,-70.83933,-33.68186,-0.2439779974520206
66j8khkk,-70.83394,-33.68194,-0.23056448623538023
66j8kk2h,-70.82855,-33.68202,-0.2437884919345379
66j8kkk5,-70.82315,-33.6821,-0.2325970120728016
66j8ks25,-70.81776,-33.68218,-0.2320384941995144
66j8ksk4,-70.81237,-33.68226,-0.22772949561476707
66j8ksrf,-70.80698,-33.68234,-0.2193679995834828
66j8ku7c,-70.80159,-33.68241,-0.20827501267194748
66j8kurc,-70.7962,-33.68249,-0.21179749071598059
66j8mh78,-70.7908,-33.68257,-0.21361949667334557
66j8mhr8,-70.78541,-33.68265,-0.2114690095186234
66j8mk5x,-70.78002,-33.68273,-0.20721299946308142
66j8mkpr,-70.77463,-33.6828,-0.1967774927616119
66j8ms5r,-70.76924,-33.68288,-0.20227701216936117
66j8mspq,-70.76385,-33.68296,-0.2011275142431259
66j8mu5q,-70.75845,-33.68304,-0.2050045132637024
66j8mupj,-70.75306,-33.68311,-0.1788094937801361
66j8qh5j,-70.74767,-33.68319,-0.193127989768982
66j8qhph,-70.74228,-33.68326,-0.18317451328039178
66j8qk4u,-70.73689,-33.68334,-0.17740000039339068
66j8qkng,-70.7315,-33.68342,-0.1642179936170578
66j8qs4g,-70.7261,-33.68349,-0.16289100795984263
66j8qsnf,-70.72071,-33.68357,-0.1557094901800155
66j8qu4d,-70.71532,-33.68364,-0.14575351774692538
66j8qund,-70.70993,-33.68372,-0.1434970125555992
