OBJECTID_INT,dFSR_AALR_NAC_pct,dFSR_AALR_HAZ_pct
12798,1.792056104711189,0.795955870057766
12857,1.993569817714262,0.8541721173769393
12861,2.0661458472496896,0.8732084458161277
12953,1.7484511010036605,0.5162235484728919
12961,1.8082725950807255,0.7443901850825615
14004,1.5052069610967758,0.7026124344782331
15152,1.5345100452955955,0.6933749272656164
15209,1.6191764120349983,0.6589505672044838
15258,1.5957043452122968,0.7217549473327585
15469,1.5510318082016488,0.8164018613362093
15472,1.301571351481036,0.7240497937621257
15474,1.7024444871198463,0.8495629680949409
15640,1.682257121383007,0.7379913563061573
15745,1.5690126924256491,0.7013967024214243
23725,1.7061364102928067,0.5864794075574704
25137,1.563127135910852,0.6452716607796707
25180,1.7574442957649783,0.7037711782858038
33183,1.6843412301099352,0.5083118095225204
33408,1.4152192596538027,0.6600851161227599
35285,1.8267526862199737,0.9194059904576607
0,1.8983191686281762,0.9456565958750819
12299,1.8827967321807362,0.8303393687206554
12306,1.910713853556017,0.8156642445584348
12341,1.7666458115545527,0.793987297035242
12428,1.7794533950932783,0.7881942895301298
12527,1.8079377098134584,0.791694370327496
12796,1.947117474696356,0.8250806924460414
12797,1.8165830219564947,0.8101836637554836
12800,1.8378193141378467,0.8092238292965399
12815,2.3634230564192027,0.9033697580758956
12820,1.4341140185594063,0.9086310554197435
12821,1.4075132853764507,0.9060455270222078
12823,1.7296048873735494,0.9787653128560134
12824,1.5732005462284129,0.9424323777766408
12825,1.7298337694432702,0.9773073691612689
12827,1.5637268018897335,0.9386495940800571
12828,1.569463573274523,0.9397572671291046
12830,1.5626993026283647,0.9386168381633011
12832,1.5632771382530966,0.9386305357342704
12833,1.5582225080566106,0.9411343004292547
12840,2.095541930004925,0.978452703829773
12841,1.7693732796304757,0.979401968260117
12845,2.1342311984270603,0.9582441715565962
12865,2.1928290706001423,0.9525588319872744
12869,2.0648584857585455,0.8603480399535613
12870,2.022721479569563,0.8602174119022925
12871,2.0490432010833306,0.8618135606799497
12877,2.236681388569443,0.8635799993079046
12880,2.007623371458668,0.8628473004072618
12885,2.233781545566665,0.8649560298551041
12886,1.6107193003688487,0.8036501548549063
12888,1.9980331685903552,0.8643206791573816
12892,2.234574829691331,0.8649677761447624
12895,2.236796696032129,0.8651367668592317
12897,2.0067919796358424,0.8653608723856462
12904,2.235288216834549,0.8649961278876787
12905,2.23603904692667,0.865051116248988
12907,2.002196152387621,0.8644072711915555
12917,2.002790514797042,0.8644664986789155
12923,2.002177562269959,0.8643770252671293
12924,2.0004744925090585,0.8641574567873772
12936,2.003098086482111,0.8643541598136537
12945,2.0039090433154754,0.8643273669218973
